ID,frame,coordX,coordY,trackedFor,violationsNumber,avgViolationTime,maxViolationTime
12,275,620,159,1,2,1.0,1
13,275,500,336,1,1,1.0,1
0,300,601,286,12,1,3.0,3
1,300,581,240,12,2,3.0,3
2,300,585,164,12,2,7.0,12
3,300,421,243,12,0,0,0
4,300,608,165,12,3,5.666666666666667,12
5,300,582,389,12,2,4.5,5
6,300,397,339,12,0,0,0
7,300,510,346,12,1,2.0,2
8,300,605,368,12,2,6.0,7
9,300,603,363,7,2,5.5,7
10,300,502,226,7,0,0,0
11,300,416,88,2,0,0,0
12,300,617,170,2,2,2.0,2
13,300,500,335,2,1,2.0,2
0,325,601,286,13,1,3.0,3
1,325,581,240,13,2,3.0,3
2,325,584,164,13,2,8.0,13
3,325,421,243,13,0,0,0
4,325,612,160,13,3,6.333333333333333,13
5,325,591,387,13,2,5.5,6
6,325,397,339,13,0,0,0
7,325,510,346,13,1,3.0,3
8,325,613,366,13,2,7.0,8
9,325,611,362,8,2,6.5,8
10,325,499,233,8,0,0,0
11,325,419,95,3,0,0,0
12,325,616,179,3,2,3.0,3
13,325,500,335,3,1,3.0,3
0,350,601,286,14,1,3.0,3
1,350,581,240,14,2,3.0,3
2,350,584,164,14,2,8.5,14
3,350,421,244,14,0,0,0
4,350,617,153,14,3,7.0,14
5,350,600,384,14,2,6.5,7
6,350,397,339,14,0,0,0
7,350,512,347,14,1,4.0,4
8,350,620,366,14,2,8.0,9
9,350,617,362,9,2,7.5,9
10,350,496,239,9,0,0,0
11,350,422,93,4,0,0,0
12,350,614,191,4,2,3.5,4
13,350,500,335,4,1,4.0,4
0,375,601,286,15,1,3.0,3
1,375,581,240,15,2,3.0,3
2,375,584,163,15,2,9.0,15
3,375,421,243,15,0,0,0
4,375,618,149,15,3,7.333333333333333,15
5,375,609,383,15,2,7.5,8
6,375,397,338,15,0,0,0
7,375,512,347,15,1,5.0,5
8,375,627,364,15,2,9.0,10
9,375,624,361,10,2,8.5,10
10,375,493,247,10,0,0,0
11,375,422,93,5,0,0,0
12,375,614,200,5,2,3.5,4
13,375,500,335,5,1,5.0,5
0,400,602,282,16,1,3.0,3
1,400,580,240,16,2,3.0,3
2,400,585,159,16,2,9.5,16
3,400,421,243,16,0,0,0
4,400,621,144,16,3,7.666666666666667,16
5,400,617,381,16,2,8.5,9
6,400,397,338,16,0,0,0
7,400,511,347,16,1,6.0,6
8,400,634,364,16,2,10.0,11
9,400,632,360,11,2,9.5,11
10,400,491,255,11,0,0,0
11,400,423,96,6,0,0,0
